News Org,Compound,Positive,Negative,Neutral,Text,Created At,Tweets Ago
BBC,-0.6808,0.0,0.248,0.752,"No coffee after 2pm, no lie-ins and no phones in the bedroom...

One woman followed all the rules to find out what… https://t.co/EoQcnBXGQ4",Wed Mar 14 21:14:04 +0000 2018,0
BBC,0.0,0.0,0.0,1.0,?? The sky's the limit! https://t.co/eQgP9MDBCj,Wed Mar 14 20:00:03 +0000 2018,1
BBC,0.0,0.0,0.0,1.0,"“Remember to look up at the stars and not down at your feet.”

An extraordinary man whose work and legacy will live… https://t.co/iM2vDxd8ET",Wed Mar 14 19:10:00 +0000 2018,2
BBC,-0.7964,0.0,0.351,0.649,Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti… https://t.co/pnTcQIQAi5,Wed Mar 14 19:04:03 +0000 2018,3
BBC,0.0,0.0,0.0,1.0,"?? This is trippy. 

#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV",Wed Mar 14 18:30:00 +0000 2018,4
BBC,0.0,0.0,0.0,1.0,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,Wed Mar 14 17:30:00 +0000 2018,5
BBC,0.8402,0.345,0.0,0.655,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy ? https://t.co/1VZuCI…,Wed Mar 14 16:43:32 +0000 2018,6
BBC,0.4019,0.124,0.0,0.876,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",Wed Mar 14 16:20:43 +0000 2018,7
BBC,0.0,0.0,0.0,1.0,"?? From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw… https://t.co/Nep1Hu6Onj",Wed Mar 14 14:38:04 +0000 2018,8
BBC,0.7783,0.274,0.0,0.726,"Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha… https://t.co/4d3xxj5e3X",Wed Mar 14 13:24:10 +0000 2018,9
BBC,0.6779,0.382,0.0,0.618,"Pi(?) = the most delicious number in the known universe. 
? #PiDay https://t.co/hjtJByH0XN",Wed Mar 14 13:00:06 +0000 2018,10
BBC,0.561,0.174,0.0,0.826,"RT @BBCR1: ?? #Gregathlon is GO! ??

@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. 

He starts his…",Wed Mar 14 12:49:48 +0000 2018,11
BBC,0.6696,0.219,0.0,0.781,"RT @bbcgetinspired: ? DANCERS NEEDED! ?

Do you know a dancer who would love this? ?? #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin…",Wed Mar 14 12:17:18 +0000 2018,12
BBC,-0.802,0.0,0.231,0.769,RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK – and it took place disturbingly recently. htt…,Wed Mar 14 12:12:32 +0000 2018,13
BBC,0.3612,0.135,0.0,0.865,"? The Bard is credited with inventing several hundred English words. 

Test your knowledge of Bard-influenced corpo… https://t.co/V3IfPC0kDm",Wed Mar 14 12:03:05 +0000 2018,14
BBC,0.8176,0.351,0.052,0.598,"RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular
A 90-second e…",Wed Mar 14 11:59:37 +0000 2018,15
BBC,0.3612,0.172,0.0,0.828,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",Wed Mar 14 11:56:23 +0000 2018,16
BBC,0.8625,0.281,0.0,0.719,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ??? https://t.…,Wed Mar 14 11:56:14 +0000 2018,17
BBC,0.0,0.0,0.0,1.0,"? Stephen Hawking: A life in pictures.
? ? https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",Wed Mar 14 11:30:12 +0000 2018,18
BBC,0.0,0.0,0.0,1.0,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",Wed Mar 14 10:27:40 +0000 2018,19
BBC,0.0,0.0,0.0,1.0,RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat…,Wed Mar 14 10:01:19 +0000 2018,20
BBC,0.5719,0.252,0.0,0.748,'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu,Wed Mar 14 09:00:05 +0000 2018,21
BBC,0.0,0.0,0.0,1.0,"Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e… https://t.co/qHNjcKK9Ap",Wed Mar 14 08:35:41 +0000 2018,22
BBC,0.0,0.0,0.0,1.0,Stephen Hawking had once written that he had motor neurone disease for practically all his adult life but said that… https://t.co/6oyYB57iE6,Wed Mar 14 07:07:28 +0000 2018,23
BBC,-0.5574,0.0,0.13,0.87,RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19…,Wed Mar 14 07:03:36 +0000 2018,24
BBC,0.3612,0.201,0.116,0.683,"RT @BBCWorld: A brilliant mind,

wicked sense of humor

and a heart big enough to hold the universe. ??

Rest among the stars, Stephen Hawk…",Wed Mar 14 06:28:18 +0000 2018,25
BBC,-0.5574,0.0,0.217,0.783,"? World renowned physicist Stephen Hawking has died at the age of 76.
https://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma",Wed Mar 14 06:21:50 +0000 2018,26
BBC,0.0,0.0,0.0,1.0,"Wakanda has Black Panther. 

 Senegal has Sandale-man. https://t.co/T9JnB3pNeq",Tue Mar 13 20:00:05 +0000 2018,27
BBC,0.0,0.0,0.0,1.0,? Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu,Tue Mar 13 19:00:05 +0000 2018,28
BBC,0.0,0.0,0.0,1.0,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",Tue Mar 13 18:30:05 +0000 2018,29
BBC,0.6696,0.29,0.0,0.71,???? Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,Tue Mar 13 17:30:06 +0000 2018,30
BBC,-0.296,0.0,0.087,0.913,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",Tue Mar 13 17:16:46 +0000 2018,31
BBC,0.3182,0.103,0.0,0.897,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",Tue Mar 13 17:13:13 +0000 2018,32
BBC,-0.5255,0.092,0.188,0.72,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",Tue Mar 13 17:02:28 +0000 2018,33
BBC,0.6808,0.244,0.054,0.702,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ?? Stephen Hawking.… https://t.co/zWNEpoOttE",Tue Mar 13 14:00:22 +0000 2018,34
BBC,0.4215,0.135,0.0,0.865,? This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,Tue Mar 13 13:00:08 +0000 2018,35
BBC,0.0258,0.09,0.086,0.824,?? Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,Tue Mar 13 12:26:59 +0000 2018,36
BBC,0.0,0.0,0.0,1.0,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",Tue Mar 13 12:03:24 +0000 2018,37
BBC,0.25,0.1,0.0,0.9,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",Tue Mar 13 12:00:09 +0000 2018,38
BBC,-0.431,0.0,0.192,0.808,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",Tue Mar 13 11:28:09 +0000 2018,39
BBC,-0.4588,0.0,0.12,0.88,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK ??…",Tue Mar 13 11:26:58 +0000 2018,40
BBC,0.0,0.0,0.0,1.0,"? Are we really born to prefer 'boys' or 'girls' toys? 

? The answer might lie with monkeys... https://t.co/oI014dsJHD",Tue Mar 13 09:00:06 +0000 2018,41
BBC,0.6304,0.2,0.081,0.718,"? Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",Tue Mar 13 08:30:07 +0000 2018,42
BBC,-0.0772,0.111,0.129,0.76,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,Tue Mar 13 08:00:03 +0000 2018,43
BBC,0.5515,0.229,0.0,0.771,"RT @BBCOne: ?? Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",Mon Mar 12 20:17:27 +0000 2018,44
BBC,-0.7003,0.099,0.303,0.599,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",Mon Mar 12 20:16:22 +0000 2018,45
BBC,0.2263,0.16,0.0,0.84,? These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,Mon Mar 12 19:23:01 +0000 2018,46
BBC,0.2263,0.119,0.0,0.881,"?? A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
?… https://t.co/VvTZRToT6L",Mon Mar 12 18:30:06 +0000 2018,47
BBC,0.5859,0.16,0.0,0.84,"'There's nothing in the dictionary for that.'

??? The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",Mon Mar 12 17:30:05 +0000 2018,48
BBC,0.0,0.0,0.0,1.0,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",Mon Mar 12 16:44:15 +0000 2018,49
BBC,0.9022,0.357,0.0,0.643,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",Mon Mar 12 16:24:52 +0000 2018,50
BBC,0.8429,0.298,0.0,0.702,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,Mon Mar 12 16:17:43 +0000 2018,51
BBC,0.0,0.0,0.0,1.0,"? @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
?… https://t.co/sG72fSqfRi",Mon Mar 12 16:07:16 +0000 2018,52
BBC,-0.3612,0.0,0.116,0.884,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",Mon Mar 12 15:55:51 +0000 2018,53
BBC,-0.34,0.0,0.194,0.806,"? Binoculars, wet wipes, glue, and other confusingly gendered products...
? https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",Mon Mar 12 14:00:09 +0000 2018,54
BBC,0.25,0.1,0.0,0.9,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",Mon Mar 12 13:30:45 +0000 2018,55
BBC,0.0,0.0,0.0,1.0,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",Mon Mar 12 13:27:27 +0000 2018,56
BBC,0.0,0.0,0.0,1.0,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,Mon Mar 12 12:59:05 +0000 2018,57
BBC,0.0,0.0,0.0,1.0,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ??? https://t.co/03fLgeKklj,Mon Mar 12 12:46:06 +0000 2018,58
BBC,-0.34,0.0,0.112,0.888,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",Mon Mar 12 12:40:39 +0000 2018,59
BBC,0.0,0.0,0.0,1.0,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,Mon Mar 12 12:19:24 +0000 2018,60
BBC,0.0,0.0,0.0,1.0,"? If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",Mon Mar 12 12:00:09 +0000 2018,61
BBC,-0.6542,0.066,0.225,0.709,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",Mon Mar 12 10:58:16 +0000 2018,62
BBC,0.7579,0.282,0.071,0.647,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",Mon Mar 12 10:55:19 +0000 2018,63
BBC,-0.5255,0.0,0.159,0.841,"RT @BBCNewsround: Have you been using emojis wrong this whole time? ?Yep, apparently there's an official definition now! https://t.co/Xiwan…",Mon Mar 12 10:52:55 +0000 2018,64
BBC,0.2433,0.185,0.119,0.696,"? Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
?… https://t.co/Yw0hzqKjyK",Mon Mar 12 09:58:30 +0000 2018,65
BBC,-0.1531,0.191,0.264,0.545,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,Mon Mar 12 09:00:06 +0000 2018,66
BBC,0.2732,0.18,0.133,0.687,"? Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",Mon Mar 12 08:30:04 +0000 2018,67
BBC,0.0516,0.186,0.174,0.64,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN,Mon Mar 12 08:00:05 +0000 2018,68
BBC,0.6068,0.237,0.0,0.763,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ",Sun Mar 11 21:39:32 +0000 2018,69
BBC,0.6908,0.322,0.0,0.678,"?? Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9",Sun Mar 11 21:22:19 +0000 2018,70
BBC,0.3612,0.152,0.0,0.848,"RT @BBCOne: Here's to the memories. ??
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya",Sun Mar 11 21:02:37 +0000 2018,71
BBC,0.861,0.43,0.0,0.57,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE",Sun Mar 11 20:00:07 +0000 2018,72
BBC,0.765,0.29,0.048,0.662,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…",Sun Mar 11 19:54:20 +0000 2018,73
